[2026/07/19 01:01:00:000   00   17844   04865             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 endp
[2026/07/19 01:21:57:610   00   17844   09950             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=3cd218423705 i
[2026/07/19 01:21:57:747   00   17844   04212             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 endp
[2026/07/19 01:21:58:206   00   17844   12549             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=d4df433f782a e
[2026/07/19 01:22:09:157   00   17844   16961             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=a6c34158a837 e
[2026/07/19 01:22:09:453   00   17844   04875             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=47139ee7eee6 e
[2026/07/19 01:22:12:514   00   17844   11358             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=554cfad9f2c7  
[2026/07/19 01:22:12:682   00   17844   14114             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=BackupAgent cp
[2026/07/19 01:22:14:401   00   17844   02404             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/auth
[2026/07/19 01:22:16:163   00   17844   08246             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=ac417da9cfea i
[2026/07/19 01:22:21:317   00   17844   08679             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=572bcf1e2792 i
[2026/07/19 01:22:21:602   00   17844   09179             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=d9f48375da02 i
[2026/07/19 01:22:26:993   00   17844   04789             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=ConfigManager 
[2026/07/19 01:22:27:231   00   17844   02293             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/back
[2026/07/19 01:22:27:366   00   17844   06205             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/syst
[2026/07/19 01:22:27:654   00   17844   11739             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=6cb5e0b4c875 i
[2026/07/19 01:22:28:154   00   17844   14156             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=68bf24035cdc e
[2026/07/19 01:22:28:531   00   17844   04994             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/metrics cal
[2026/07/19 01:22:29:022   00   17844   16014             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 endp
[2026/07/19 01:22:30:946   00   17844   10113             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 caller=C
[2026/07/19 01:22:46:074   00   17844   12612             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=ad61b9f73b8f e
[2026/07/19 01:22:48:561   00   17844   09579             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=BackupAgent me
[2026/07/19 01:22:59:129   00   17844   06227             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=8831478ad939 m
[2026/07/19 01:37:59:129   00   17844   15972             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | mem_util=69% extra='o'
[2026/07/19 01:38:02:269   00   17844   11480             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.1.50 endpo
[2026/07/19 01:38:07:167   00   17844   14423             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=c19ee662b38b i
[2026/07/19 01:38:07:456   00   17844   19171             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=24f2b444706b c
[2026/07/19 01:38:07:834   00   17844   01805             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=dcb6be1e1ae1 e
[2026/07/19 01:41:15:834   00   17844   17169             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 endpo
[2026/07/19 01:43:23:834   00   17844   09927             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 endpo
[2026/07/19 01:43:25:231   00   17844   16539             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 cpu_
[2026/07/19 01:43:25:631   00   17844   13148             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.1.50 endpo
[2026/07/19 01:43:25:647   00   17844   17917             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=5514ceb23d6c i
[2026/07/19 01:43:30:799   00   17844   06288             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.1.50 calle
[2026/07/19 01:43:33:040   00   17844   09978             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=934fac16bfff i
[2026/07/19 01:43:35:476   00   17844   19862             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=7af92c00aecf  
[2026/07/19 01:45:24:476   00   17844   04587             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=835c0854cd84 i
[2026/07/19 01:45:35:451   00   17844   06338             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=0fdc1d0c6f89 c
[2026/07/19 01:45:40:558   00   17844   08737             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=05f2c06f0f02 e
[2026/07/19 01:45:40:746   00   17844   18464             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=d583bffae0c4 i
[2026/07/19 01:45:45:288   00   17844   13993             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 calle
[2026/07/19 01:53:45:288   00   17844   07757             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=BackupAgent cp
[2026/07/19 01:56:48:288   00   17844   08884             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=5b50497213a1 m
[2026/07/19 01:59:22:288   00   17844   14534             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 endpoint
[2026/07/19 02:01:39:288   00   17844   18374             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 calle
[2026/07/19 02:01:39:739   00   17844   17863             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=1cc701ed6933 i
[2026/07/19 02:01:39:948   00   17844   13068             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=0703b9b627f5 e
[2026/07/19 02:01:51:366   00   17844   14793             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=TomcatAccessFi
[2026/07/19 02:01:51:452   00   17844   08750             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=bb711d6cac63 i
[2026/07/19 02:01:51:564   00   17844   17941             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=7fa38587b43c c
[2026/07/19 02:05:39:564   00   17844   16236             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/back
[2026/07/19 02:05:39:968   00   17844   17064             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/back
[2026/07/19 02:05:42:406   00   17844   02107             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=7873af46b43b i
[2026/07/19 02:05:42:579   00   17844   09525             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/auth
[2026/07/19 02:05:42:762   00   17844   19319             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 call
[2026/07/19 02:05:46:721   00   17844   11351             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.1.50 endpo
[2026/07/19 02:05:48:969   00   17844   05925             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=097eca55e1ee i
[2026/07/19 02:08:51:969   00   17844   02920             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 endpoint
[2026/07/19 02:09:02:095   00   17844   06775             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=80ec0e3eba88 i
[2026/07/19 02:09:03:826   00   17844   03432             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 endp
[2026/07/19 02:09:04:102   00   17844   11868             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=121c01fb7032 c
[2026/07/19 02:09:04:521   00   17844   15845             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=5d7748730958 i
[2026/07/19 02:09:05:012   00   17844   14342             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=32d9088611fe i
[2026/07/19 02:09:05:293   00   17844   17738             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115 endp
[2026/07/19 02:09:07:548   00   17844   14397             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 endpoint
[2026/07/19 02:09:10:746   00   17844   14919             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=8d0a66dfff2f i
[2026/07/19 02:11:02:746   00   17844   15742             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=af59702da4d1 i
[2026/07/19 02:11:13:443   00   17844   19189             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=0902a383fd27  
[2026/07/19 02:11:13:539   00   17844   13350             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 mem_util
[2026/07/19 02:11:13:741   00   17844   03882             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=2dcbac2e143d c
[2026/07/19 02:11:14:057   00   17844   09486             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=25c438d1b370 i
[2026/07/19 02:11:28:242   00   17844   17888             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=DbConnector cp
[2026/07/19 02:11:28:734   00   17844   08113             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=782cffac0fe8 i
[2026/07/19 02:11:42:112   00   17844   19734             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=997e83af770a e
[2026/07/19 02:11:46:669   00   17844   02184             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 endpo
[2026/07/19 02:11:47:136   00   17844   18291             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=ConfigManager 
[2026/07/19 02:11:58:286   00   17844   06280             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=a9998c595d1c e
[2026/07/19 02:12:01:813   00   17844   12605             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=WebServiceHelp
[2026/07/19 02:12:07:464   00   17844   14282             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=4be1a382c7d3 i
[2026/07/19 02:12:18:072   00   17844   06215             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/back
[2026/07/19 02:12:32:050   00   17844   02347             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=192.168.2.115     
[2026/07/19 02:12:47:737   00   17844   08499             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=c9b9ea32e7d1 i
[2026/07/19 02:12:47:993   00   17844   08422             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=fd5ea86922ba c
[2026/07/19 02:12:51:148   00   17844   07379             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=923a6cde34e5 i
[2026/07/19 02:12:51:386   00   17844   04829             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=2dbacdd222f0 c
[2026/07/19 02:12:54:738   00   17844   19022             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | cpu_util=28% mem_util
[2026/07/19 02:13:07:932   00   17844   10296             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/metrics cal
[2026/07/19 02:13:21:097   00   17844   12743             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=d90ebdee3efc i
[2026/07/19 02:13:22:823   00   17844   09952             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=1e725e45dcad i
[2026/07/19 02:13:22:892   00   17844   10740             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=ca22c5043a27 i
[2026/07/19 02:13:23:234   00   17844   14351             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v2/rest
[2026/07/19 02:13:38:583   00   17844   07965             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=49f8b71dc067 i
[2026/07/19 02:13:38:735   00   17844   03180             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=6f942b2cdff8 e
[2026/07/19 02:28:38:735   00   17844   14033             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=570997fd9d74 i
[2026/07/19 02:28:38:878   00   17844   12442             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=02fc612b4116 e
[2026/07/19 02:30:22:878   00   17844   10848             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 caller=C
[2026/07/19 02:30:38:477   00   17844   06865             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=2150109d10fe e
[2026/07/19 02:30:38:905   00   17844   11367             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=53f2e9baf799 i
[2026/07/19 02:30:41:965   00   17844   07040             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 calle
[2026/07/19 02:30:42:283   00   17844   05167             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v2/rest
[2026/07/19 02:30:57:701   00   17844   01054             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=50c9eb431dc2 c
[2026/07/19 02:30:58:023   00   17844   04682             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=b99bce825944 e
[2026/07/19 02:30:58:064   00   17844   04086             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=725416ba21d8 i
[2026/07/19 02:30:58:123   00   17844   09101             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=0bf179e3f6cf c
[2026/07/19 02:30:58:150   00   17844   11434             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=WebServiceHelp
[2026/07/19 02:33:24:150   00   17844   11442             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=2cba61ea252c i
[2026/07/19 02:33:29:251   00   17844   14715             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v2/rest
[2026/07/19 02:33:34:360   00   17844   13824             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=3859a49e9c40 c
[2026/07/19 02:33:39:590   00   17844   18736             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | caller=DbConnector cp
[2026/07/19 02:33:40:065   00   17844   15282             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=c6a4d139c7ca e
[2026/07/19 02:33:43:284   00   17844   07610             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=508edeac4bb1 e
[2026/07/19 02:43:43:284   00   17844   13714             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=2d43c5a6e378 e
[2026/07/19 02:43:57:897   00   17844   08956             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=3b5e2340fcda i
[2026/07/19 02:43:58:197   00   17844   03370             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=864c59899637 i
[2026/07/19 02:44:02:543   00   17844   16773             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v2/rest
[2026/07/19 02:44:13:446   00   17844   14297             ] WebServiceHelper::Helper: Processing request from client   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=a12fbb46b211 c
[2026/07/19 02:46:12:446   00   17844   15395             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=10.0.0.12 endpoint
[2026/07/19 02:46:12:637   00   17844   09722             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | req_id=8588a0b98936 i
[2026/07/19 02:46:15:423   00   17844   01740             ] WebServiceHelper::Helper: Connection request to backend succeeded   {WebServiceHelper.exe::Helper.dll(1.2.3)} | ip=172.16.254.1 endpo
[2026/07/19 02:46:20:693   00   17844   17236             ] WebServiceHelper::Helper: Resource cached locally   {WebServiceHelper.exe::Helper.dll(1.2.3)} | endpoint=/api/v1/auth
