[2026/07/19 01:02:00:000   00   15000   01361   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=e8bb1f881a
[2026/07/19 01:08:52:553   00   15000   08697   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 01:08:57:171   00   15000   17598   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 c
[2026/07/19 01:08:57:283   00   15000   16715   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=b07cb8810d
[2026/07/19 01:08:57:301   00   15000   08644   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=10.0.0.12 endp
[2026/07/19 01:08:59:850   00   15000   13181   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 c
[2026/07/19 01:22:59:850   00   15000   01256   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 01:23:00:288   00   15000   01987   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v2/
[2026/07/19 01:25:33:288   00   15000   03600   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=1a382f38ca
[2026/07/19 01:25:33:640   00   15000   11879   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=38c30f4f32
[2026/07/19 01:27:47:640   00   15000   19708   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.2.115 
[2026/07/19 01:27:53:198   00   15000   13226   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | caller=DbConnecto
[2026/07/19 01:28:09:072   00   15000   16538   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=83c240f57a
[2026/07/19 01:28:14:705   00   15000   09772   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | caller=TomcatAcce
[2026/07/19 01:28:15:159   00   15000   05398   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=9d56c210e0
[2026/07/19 01:28:20:856   00   15000   12379   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 01:29:38:856   00   15000   03200   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=930776d3d4
[2026/07/19 01:29:39:064   00   15000   13829   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=9df1962c6d
[2026/07/19 01:29:43:538   00   15000   07009   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=0b2667640f
[2026/07/19 01:29:43:828   00   15000   05543   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=b9e04eaecd
[2026/07/19 01:29:43:881   00   15000   10928   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=1c42c0ba5f
[2026/07/19 01:33:33:881   00   15000   13202   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=a985af878b
[2026/07/19 01:33:48:939   00   15000   19124   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.2.115 
[2026/07/19 01:34:01:347   00   15000   08887   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=30f88e57f4
[2026/07/19 01:37:40:347   00   15000   16178   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v2/
[2026/07/19 01:52:40:347   00   15000   12220   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=a266124721
[2026/07/19 01:52:52:487   00   15000   06632   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=d1556937c6
[2026/07/19 01:52:52:839   00   15000   11174   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | trace_id=79d5de87
[2026/07/19 01:52:57:059   00   15000   16408   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | cpu_util=85%     
[2026/07/19 01:52:57:132   00   15000   03288   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | caller=DbConnecto
[2026/07/19 01:53:03:027   00   15000   19449   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=5b82581b4b
[2026/07/19 01:53:05:914   00   15000   18692   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 01:53:07:386   00   15000   07028   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=302ce6a3e4
[2026/07/19 01:53:07:769   00   15000   13223   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=d22c22a68f
[2026/07/19 01:53:07:771   00   15000   05764   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 e
[2026/07/19 01:53:07:908   00   15000   14869   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=75bec88be1
[2026/07/19 01:53:08:205   00   15000   10440   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=d7361d86d8
[2026/07/19 01:53:08:630   00   15000   08205   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=10.0.0.12 call
[2026/07/19 01:53:09:047   00   15000   04669   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | trace_id=77baaf91
[2026/07/19 01:53:09:524   00   15000   18949   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 e
[2026/07/19 01:53:09:542   00   15000   15726   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 c
[2026/07/19 01:53:09:587   00   15000   03921   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v2/
[2026/07/19 01:53:15:525   00   15000   03842   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=63c8bf04ed
[2026/07/19 01:53:19:768   00   15000   05551   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=10.0.0.12 endp
[2026/07/19 01:53:19:774   00   15000   03095   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=0632c6287b
[2026/07/19 01:53:20:092   00   15000   18308   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=a878ce05c7
[2026/07/19 01:53:20:197   00   15000   03749   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 c
[2026/07/19 01:53:32:186   00   15000   10528   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=415a14e3f9
[2026/07/19 01:53:46:051   00   15000   14096   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1  
[2026/07/19 01:53:48:340   00   15000   07184   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=810be839f8
[2026/07/19 01:53:48:722   00   15000   06502   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=8708ca4180
[2026/07/19 01:53:49:781   00   15000   16289   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | caller=ConfigMana
[2026/07/19 01:53:51:807   00   15000   06656   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/metrics
[2026/07/19 01:53:51:906   00   15000   14913   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=4b55c810cc
[2026/07/19 01:53:52:395   00   15000   08500   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=558984552d
[2026/07/19 01:53:54:813   00   15000   04674   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=88725e87fd
[2026/07/19 01:53:59:921   00   15000   08315   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.2.115 
[2026/07/19 01:54:12:399   00   15000   06199   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | trace_id=74f8381b
[2026/07/19 01:56:33:399   00   15000   15676   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=08aae9297d
[2026/07/19 01:56:33:579   00   15000   17444   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=249d022c6b
[2026/07/19 01:56:49:189   00   15000   03058   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=549e904f0a
[2026/07/19 01:56:49:364   00   15000   04574   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.1.50 e
[2026/07/19 01:56:50:962   00   15000   11661   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 e
[2026/07/19 01:57:06:619   00   15000   13906   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=06cf2e2fa2
[2026/07/19 01:57:06:856   00   15000   02794   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=018783f39c
[2026/07/19 01:57:11:307   00   15000   03470   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=74a0cd445e
[2026/07/19 01:57:26:413   00   15000   07086   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | cpu_util=14% mem_
[2026/07/19 01:57:26:509   00   15000   19118   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=581bbce2fb
[2026/07/19 01:57:27:763   00   15000   15759   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=210e5ecad6
[2026/07/19 01:59:36:763   00   15000   13590   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=45eeedc462
[2026/07/19 01:59:36:770   00   15000   09157   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=3b722cae55
[2026/07/19 02:03:10:770   00   15000   02817   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 02:05:54:770   00   15000   19414   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | cpu_util=58% mem_
[2026/07/19 02:06:08:573   00   15000   18751   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=2a5762fb0f
[2026/07/19 02:09:41:573   00   15000   10306   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | caller=ConfigMana
[2026/07/19 02:09:55:631   00   15000   12143   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.1.50 c
[2026/07/19 02:23:55:631   00   15000   17447   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 02:37:55:631   00   15000   03992   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.2.115 
[2026/07/19 02:38:01:484   00   15000   03628   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=0a856aa240
[2026/07/19 02:38:01:921   00   15000   04987   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=bd9ad89492
[2026/07/19 02:38:17:542   00   15000   03163   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/metrics
[2026/07/19 02:38:17:836   00   15000   05049   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=fb6a046b98
[2026/07/19 02:38:18:153   00   15000   14424   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=c365f72ede
[2026/07/19 02:38:18:641   00   15000   01996   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 02:40:12:641   00   15000   06257   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | mem_util=39%     
[2026/07/19 02:40:14:604   00   15000   08091   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=dd9638be4b
[2026/07/19 02:40:17:865   00   15000   04990   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v2/
[2026/07/19 02:40:19:070   00   15000   14121   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=1e9ecc1a45
[2026/07/19 02:42:13:070   00   15000   14414   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.1.50 e
[2026/07/19 02:42:13:526   00   15000   13737   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 02:42:13:561   00   15000   09827   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | caller=TomcatAcce
[2026/07/19 02:44:51:561   00   15000   11276   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.2.115 
[2026/07/19 02:44:51:838   00   15000   06526   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 02:44:52:218   00   15000   12246   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v2/
[2026/07/19 02:45:02:472   00   15000   02250   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 c
[2026/07/19 02:46:36:472   00   15000   01772   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=d9d7da4bec
[2026/07/19 02:46:38:642   00   15000   12686   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=b91aa29171
[2026/07/19 02:46:43:384   00   15000   09323   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v2/
[2026/07/19 02:46:43:780   00   15000   05011   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/metrics
[2026/07/19 02:46:58:823   00   15000   12311   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=05038cd695
[2026/07/19 02:46:58:873   00   15000   13184   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=10.0.0.12 endp
[2026/07/19 02:47:00:134   00   15000   07479   0X00000000] BackupEngine::ServerBackup: Processing volume backup for C:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=3bb4f5f7a6
[2026/07/19 02:47:00:206   00   15000   05547   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 m
[2026/07/19 02:47:00:398   00   15000   09541   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 02:47:03:282   00   15000   19303   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 e
[2026/07/19 02:47:06:712   00   15000   17657   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=6e769e1266
[2026/07/19 02:50:37:712   00   15000   14771   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 02:50:42:902   00   15000   08224   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=ac81623b7a
[2026/07/19 02:50:43:205   00   15000   09051   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 02:52:17:205   00   15000   09002   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | cpu_util=22%     
[2026/07/19 02:52:17:222   00   15000   14806   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | cpu_util=14% mem_
[2026/07/19 02:52:31:933   00   15000   05870   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=133d4e92a1
[2026/07/19 02:52:37:573   00   15000   10065   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.2.115 
[2026/07/19 02:56:20:573   00   15000   17761   0X00000000] BackupEngine::ServerBackup: Processing volume backup for D:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 e
[2026/07/19 02:59:19:573   00   15000   16784   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=294acf763b
[2026/07/19 02:59:21:918   00   15000   16752   0X00000000] BackupEngine::ServerBackup: Read volume boot sector details   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | endpoint=/api/v1/
[2026/07/19 02:59:37:331   00   15000   08241   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=172.16.254.1 c
[2026/07/19 02:59:37:740   00   15000   01703   0X00000000] BackupEngine::ServerBackup: Processing volume backup for E:   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | req_id=196eee21a8
[2026/07/19 02:59:42:138   00   15000   17682   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | ip=192.168.1.50 c
[2026/07/19 03:09:42:138   00   15000   12541   0X00000000] BackupEngine::ServerBackup: Snapshot session opened successfully   {BackupEngine.exe::ServerBackup.dll(2.0.0)} | caller=WebService
